epoch (ms),time (-07:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1567348958543,2019-09-01T07:42:38.543,0.000,-0.024,-0.036,1.000
1567348958563,2019-09-01T07:42:38.563,0.020,-0.024,-0.038,1.007
1567348958584,2019-09-01T07:42:38.584,0.041,-0.024,-0.038,1.005
1567348958604,2019-09-01T07:42:38.604,0.061,-0.025,-0.038,1.005
1567348958625,2019-09-01T07:42:38.625,0.082,-0.024,-0.037,1.005
1567348958644,2019-09-01T07:42:38.644,0.101,-0.025,-0.036,1.005
1567348958664,2019-09-01T07:42:38.664,0.121,-0.025,-0.038,1.006
1567348958685,2019-09-01T07:42:38.685,0.142,-0.023,-0.038,1.006
1567348958705,2019-09-01T07:42:38.705,0.162,-0.024,-0.038,1.004
1567348958726,2019-09-01T07:42:38.726,0.183,-0.024,-0.038,1.004
1567348958746,2019-09-01T07:42:38.746,0.203,-0.023,-0.037,1.005
1567348958767,2019-09-01T07:42:38.767,0.224,-0.024,-0.038,1.006
1567348958786,2019-09-01T07:42:38.786,0.243,-0.023,-0.038,1.004
1567348958807,2019-09-01T07:42:38.807,0.264,-0.023,-0.036,1.004
1567348958827,2019-09-01T07:42:38.827,0.284,-0.024,-0.037,1.005
1567348958848,2019-09-01T07:42:38.848,0.305,-0.023,-0.038,1.007
1567348958868,2019-09-01T07:42:38.868,0.325,-0.024,-0.036,1.006
1567348958889,2019-09-01T07:42:38.889,0.346,-0.023,-0.037,1.007
1567348958909,2019-09-01T07:42:38.909,0.366,-0.023,-0.038,1.005
1567348958930,2019-09-01T07:42:38.930,0.387,-0.025,-0.038,1.005
1567348958949,2019-09-01T07:42:38.949,0.406,-0.024,-0.037,1.005
1567348958969,2019-09-01T07:42:38.969,0.426,-0.024,-0.037,1.004
1567348958990,2019-09-01T07:42:38.990,0.447,-0.025,-0.038,1.006
1567348959010,2019-09-01T07:42:39.010,0.467,-0.025,-0.037,1.007
1567348959031,2019-09-01T07:42:39.031,0.488,-0.023,-0.038,1.005
1567348959051,2019-09-01T07:42:39.051,0.508,-0.024,-0.038,1.003
1567348959072,2019-09-01T07:42:39.072,0.529,-0.025,-0.039,1.006
1567348959091,2019-09-01T07:42:39.091,0.548,-0.024,-0.038,1.007
1567348959111,2019-09-01T07:42:39.111,0.568,-0.025,-0.037,1.007
1567348959132,2019-09-01T07:42:39.132,0.589,-0.025,-0.039,1.006
1567348959152,2019-09-01T07:42:39.152,0.609,-0.022,-0.037,1.005
1567348959173,2019-09-01T07:42:39.173,0.630,-0.023,-0.037,1.005
1567348959193,2019-09-01T07:42:39.193,0.650,-0.024,-0.037,1.004
1567348959214,2019-09-01T07:42:39.214,0.671,-0.023,-0.036,1.005
1567348959233,2019-09-01T07:42:39.233,0.690,-0.025,-0.037,1.005
1567348959253,2019-09-01T07:42:39.253,0.710,-0.024,-0.037,1.007
1567348959274,2019-09-01T07:42:39.274,0.731,-0.024,-0.036,1.005
1567348959294,2019-09-01T07:42:39.294,0.751,-0.024,-0.035,1.005
1567348959315,2019-09-01T07:42:39.315,0.772,-0.024,-0.037,1.006
1567348959335,2019-09-01T07:42:39.335,0.792,-0.025,-0.037,1.007
1567348959356,2019-09-01T07:42:39.356,0.813,-0.024,-0.037,1.005
1567348959375,2019-09-01T07:42:39.375,0.832,-0.025,-0.038,1.005
1567348959395,2019-09-01T07:42:39.395,0.852,-0.024,-0.037,1.006
1567348959416,2019-09-01T07:42:39.416,0.873,-0.024,-0.037,1.007
1567348959436,2019-09-01T07:42:39.436,0.893,-0.024,-0.037,1.004
1567348959457,2019-09-01T07:42:39.457,0.914,-0.023,-0.038,1.004
1567348959477,2019-09-01T07:42:39.477,0.934,-0.024,-0.037,1.006
1567348959498,2019-09-01T07:42:39.498,0.955,-0.023,-0.037,1.005
1567348959517,2019-09-01T07:42:39.517,0.974,-0.022,-0.038,1.006
1567348959537,2019-09-01T07:42:39.537,0.994,-0.024,-0.037,1.006
1567348959558,2019-09-01T07:42:39.558,1.015,-0.026,-0.038,1.006
1567348959578,2019-09-01T07:42:39.578,1.035,-0.024,-0.039,1.003
1567348959599,2019-09-01T07:42:39.599,1.056,-0.024,-0.037,1.007
1567348959620,2019-09-01T07:42:39.620,1.077,-0.023,-0.037,1.005
1567348959640,2019-09-01T07:42:39.640,1.097,-0.027,-0.037,1.005
1567348959661,2019-09-01T07:42:39.661,1.118,-0.024,-0.036,1.006
1567348959680,2019-09-01T07:42:39.680,1.137,-0.025,-0.038,1.006
1567348959700,2019-09-01T07:42:39.700,1.157,-0.025,-0.038,1.008
1567348959721,2019-09-01T07:42:39.721,1.178,-0.024,-0.037,1.007
1567348959741,2019-09-01T07:42:39.741,1.198,-0.023,-0.038,1.006
1567348959762,2019-09-01T07:42:39.762,1.219,-0.024,-0.038,1.006
1567348959782,2019-09-01T07:42:39.782,1.239,-0.023,-0.037,1.006
1567348959803,2019-09-01T07:42:39.803,1.260,-0.023,-0.037,1.004
1567348959822,2019-09-01T07:42:39.822,1.279,-0.023,-0.037,1.007
1567348959842,2019-09-01T07:42:39.842,1.299,-0.024,-0.038,1.008
1567348959863,2019-09-01T07:42:39.863,1.320,-0.024,-0.037,1.005
1567348959883,2019-09-01T07:42:39.883,1.340,-0.024,-0.038,1.006
1567348959904,2019-09-01T07:42:39.904,1.361,-0.024,-0.037,1.005
1567348959924,2019-09-01T07:42:39.924,1.381,-0.026,-0.037,1.005
1567348959945,2019-09-01T07:42:39.945,1.402,-0.025,-0.037,1.005
1567348959964,2019-09-01T07:42:39.964,1.421,-0.024,-0.037,1.006
1567348959984,2019-09-01T07:42:39.984,1.441,-0.024,-0.037,1.005
1567348960005,2019-09-01T07:42:40.005,1.462,-0.024,-0.037,1.007
1567348960025,2019-09-01T07:42:40.025,1.482,-0.023,-0.038,1.007
1567348960046,2019-09-01T07:42:40.046,1.503,-0.024,-0.036,1.007
1567348960066,2019-09-01T07:42:40.066,1.523,-0.025,-0.037,1.007
1567348960087,2019-09-01T07:42:40.087,1.544,-0.024,-0.036,1.007
1567348960106,2019-09-01T07:42:40.106,1.563,-0.024,-0.037,1.006
1567348960126,2019-09-01T07:42:40.126,1.583,-0.023,-0.036,1.006
